All likes,Films,TV Programmes,Music,Books,Sports Teams,Sportspeople,Favourites,Check-ins,Sports,Music,Films,Tv programmes,Books,Apps - games,Events,Gender
1476,3,0,23,10,0,0,4,2,6,5,4,3,0,0,2,0
282,7,2,40,0,0,0,1,2,6,2,0,3,1,1,3,0
325,0,1,12,3,2,1,1,2,2,1,3,2,4,0,3,0
1249,10,25,63,2,86,60,1,2,8,1,4,1,2,2,3,0
1097,0,13,31,11,3,1,5,3,3,3,2,6,0,2,4,0
523,37,60,51,7,0,0,5,1,6,2,4,1,1,2,4,0
877,5,10,44,21,58,32,1,3,6,2,6,1,0,0,3,0
2983,28,39,180,6,0,0,5,3,2,3,2,0,0,0,6,0
923,2,7,29,2,2,0,4,3,1,0,1,0,0,2,3,0
408,7,9,14,5,0,2,3,1,0,2,6,3,2,1,5,0
1414,9,3,75,4,0,0,1,3,5,3,1,3,2,1,2,0
654,20,19,123,8,6,3,2,2,5,4,5,4,0,0,3,0
1919,16,14,66,15,3,1,4,2,6,2,3,4,1,1,3,0
402,6,3,45,13,2,2,1,2,1,3,2,1,2,0,3,0
1745,41,25,108,8,15,12,5,2,6,3,1,1,2,0,3,0
606,61,31,39,7,0,0,4,2,1,1,2,1,2,1,2,0
8408,437,309,741,136,36,51,2,2,6,2,3,2,1,2,2,0
656,6,4,24,4,2,0,1,1,3,3,1,0,6,0,3,0
870,3,14,40,13,0,0,3,2,4,4,1,1,2,0,3,0
704,16,20,13,4,0,3,4,4,6,1,0,1,0,4,3,0
252,7,7,29,2,0,5,2,3,0,3,6,1,5,0,3,0
842,35,35,44,16,2,6,4,3,1,0,3,2,1,6,2,0
492,12,21,12,8,2,0,4,2,2,1,4,0,2,0,3,0
785,11,35,142,12,4,3,3,2,2,2,5,4,0,1,2,0
28,35,37,11,0,0,1,3,1,3,3,1,4,0,2,2,0
865,7,3,89,13,0,0,4,3,6,4,3,3,2,0,3,0
1284,47,67,188,17,1,10,2,2,6,3,4,3,4,2,1,0
486,10,8,38,0,0,0,2,4,6,2,3,2,4,1,5,0
2060,192,52,288,23,5,4,5,2,2,0,5,0,0,2,3,0
1105,139,55,126,39,3,0,4,3,0,0,3,1,0,0,3,0
684,30,3,98,3,2,0,3,4,6,4,3,3,2,1,3,0
117,2,8,10,0,0,0,1,3,2,4,1,1,5,0,4,0
762,0,4,29,1,1,2,3,3,6,2,3,1,1,3,3,0
1223,71,33,247,38,46,8,3,2,0,0,0,1,0,0,3,0
59,7,2,4,0,0,0,2,2,0,3,3,5,0,0,1,0
257,2,1,39,6,2,0,1,2,1,6,3,3,2,1,1,0
182,3,0,4,0,0,0,1,4,2,1,3,1,3,1,3,0
798,76,10,61,6,0,5,1,2,6,4,3,4,2,1,3,0
130,2,0,7,0,0,0,1,2,0,2,2,3,0,0,2,0
589,56,6,58,12,4,2,1,2,4,4,3,2,3,1,5,0
2482,51,77,218,27,5,20,1,1,6,2,5,1,0,1,1,0
248,31,8,29,7,0,2,6,0,7,4,5,1,6,0,2,0
2097,26,14,104,7,2,4,2,2,5,3,3,4,6,1,2,0
425,4,3,20,6,0,0,3,3,1,2,2,0,0,0,1,0
146,1,2,13,0,1,0,4,3,2,6,0,5,3,0,3,0
511,52,12,81,17,6,13,2,3,6,3,3,1,1,3,1,0
1101,32,18,47,3,5,5,0,2,0,4,8,0,0,0,3,0
2624,43,28,0,0,0,0,2,3,6,4,3,2,1,3,1,0
435,7,3,22,0,1,1,2,2,0,2,5,3,2,0,1,0
812,60,26,93,2,3,13,2,2,0,2,1,3,3,4,3,0
460,7,7,59,6,1,1,3,3,0,2,0,0,0,0,3,0
1502,17,14,108,3,6,1,3,2,0,7,4,3,0,2,3,0
486,13,13,20,5,0,0,3,3,6,5,0,4,0,0,0,0
444,15,8,52,0,0,0,5,2,6,2,2,1,3,5,5,0
246,13,8,17,5,3,1,3,3,6,4,0,2,4,1,4,0
766,7,26,64,6,4,1,2,2,0,4,6,3,4,0,0,0
360,14,6,28,10,0,0,5,3,6,2,5,4,1,1,4,0
1817,21,9,127,79,0,0,3,3,0,2,5,1,1,0,0,0
144,12,15,27,15,0,0,3,3,0,2,2,3,1,0,4,0
2417,46,40,334,25,0,0,3,3,8,9,6,4,1,0,3,0
216,20,25,15,8,0,0,3,3,0,2,1,4,5,0,3,0
1062,6,11,65,5,0,0,3,3,6,2,2,3,2,0,4,0
389,12,6,12,15,0,0,3,3,6,2,6,3,4,0,3,0
2287,12,15,135,25,0,0,3,2,0,8,7,7,4,1,4,0
1875,17,10,87,15,0,0,3,3,6,2,1,1,1,0,4,0
356,2,3,25,8,4,0,1,3,0,2,1,3,1,0,3,0
1037,7,9,77,4,2,0,3,3,7,2,4,1,2,1,4,0
1167,16,8,54,21,10,3,3,2,2,2,6,3,2,1,0,0
1451,14,23,83,11,5,4,3,0,0,9,1,4,2,1,4,0
612,57,22,140,9,11,2,2,3,0,2,6,1,3,1,0,0
882,23,33,32,6,1,8,3,6,0,2,1,1,1,0,5,0
480,0,2,13,0,1,1,3,3,6,4,5,1,1,3,3,0
678,0,4,45,5,2,5,2,2,0,4,2,2,7,1,5,0
707,5,7,59,10,3,0,3,3,2,4,4,2,1,1,5,0
276,1,5,25,11,0,1,2,3,0,6,1,3,1,0,5,0
516,4,11,14,2,0,42,3,3,0,2,4,2,4,1,3,0
193,1,5,11,7,9,1,3,3,6,2,6,3,1,1,5,0
1812,6,15,114,33,2,2,3,3,0,2,1,3,0,1,3,0
253,0,0,0,0,1,5,3,0,0,4,5,3,3,2,5,0
139,0,6,7,0,0,0,1,3,0,6,2,3,4,0,5,0
253,4,7,9,3,0,1,3,0,6,4,2,3,2,0,5,0
63,5,0,9,0,0,1,3,5,0,4,3,3,0,0,3,0
353,14,6,20,0,0,1,3,3,0,4,0,3,2,1,0,0
596,8,8,55,9,3,1,3,3,6,7,1,4,1,0,0,0
1508,0,20,53,26,2,17,1,3,0,6,2,3,0,0,3,0
0,0,0,0,0,0,0,3,3,8,3,2,3,2,1,5,0
176,0,2,5,0,0,0,3,3,0,2,5,1,0,0,3,0
1711,58,51,220,33,13,15,1,3,0,6,3,3,7,0,3,0
0,0,0,0,0,0,0,3,2,0,5,0,3,0,0,5,0
1593,29,36,83,24,8,7,3,3,7,2,5,1,1,0,5,0
144,2,1,5,1,1,0,3,3,6,2,1,3,2,0,4,0
0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0
0,0,0,0,0,0,0,3,2,6,2,4,2,1,0,5,0
705,0,6,30,2,3,0,3,0,0,2,0,3,0,0,0,0
0,0,0,0,0,0,0,3,3,6,4,1,1,0,0,3,0
434,8,15,112,6,1,1,3,3,6,2,1,1,1,0,0,0
997,6,11,56,2,1,1,3,2,7,7,2,3,2,1,3,0
681,47,38,112,12,4,13,1,2,0,0,5,2,0,2,0,0
2840,59,55,163,30,5,2,3,2,0,2,1,1,0,0,3,0
0,0,1,3,1,0,0,3,3,6,2,1,1,2,2,5,0
24,1,2,0,0,0,0,3,3,0,2,6,5,1,0,0,0
339,5,8,9,2,2,1,3,3,6,7,4,3,7,0,4,0
613,13,11,37,13,2,1,3,2,0,2,2,3,1,0,0,0
2006,16,26,79,15,2,6,3,0,0,7,1,1,0,0,4,0
293,0,4,1,0,0,0,3,2,7,4,2,3,2,1,3,0
84,6,2,20,0,0,0,3,3,6,4,4,1,7,0,3,0
712,3,5,30,2,0,0,3,2,8,2,4,4,1,0,0,0
533,5,4,33,11,0,0,3,5,0,2,0,4,1,0,0,0
313,0,2,9,2,1,0,3,3,0,5,4,3,1,5,0,0
154,4,2,8,0,0,0,2,3,0,5,5,3,1,1,4,0
399,0,0,18,0,0,4,3,2,0,2,1,1,3,2,5,0
391,5,3,11,3,3,1,4,2,0,2,1,1,1,1,4,0
150,1,3,41,3,3,9,3,2,0,2,2,1,1,0,4,0
1178,53,49,218,18,3,10,3,0,0,4,1,1,1,5,3,0
